"Number of holes, nh","Web-post width, WP (mm)","Web opening diameter, Do (mm)",Ply 1 (ø),Ply 2 (ø),Ply 3 (ø),Ply 4 (ø),Ply 5 (ø),Ply 6 (ø),Ply 7 (ø),Ply 8 (ø),Critical Buckling Load (N),Critical Buckling Load (kN)
4,3.5,45,45,-45,90,0,0,90,-45,45,14269.53213,14.26953213
4,3.5,45,45,0,-45,90,90,-45,0,45,11122.68788,11.12268788
4,3.5,45,45,0,90,-45,-45,90,0,45,9724.246633,9.724246633
4,3.5,45,45,90,-45,0,0,-45,90,45,11416.80855,11.41680855
4,3.5,45,45,90,0,-45,-45,0,90,45,10047.83829,10.04783829
4,3.5,45,90,-45,0,45,45,0,-45,90,8652.129355,8.652129355
4,3.5,45,90,-45,45,0,0,45,-45,90,9442.5153,9.4425153
4,3.5,45,90,0,-45,45,45,-45,0,90,7873.232779,7.873232779
4,3.5,45,90,0,45,-45,-45,45,0,90,7873.198385,7.873198385
4,3.5,45,90,45,-45,0,0,-45,45,90,9442.288288,9.442288288
4,3.5,45,90,45,0,-45,-45,0,45,90,8651.577891,8.651577891
4,4,35,-45,0,45,90,90,45,0,-45,13357.84527,13.35784527
4,4,35,-45,0,90,45,45,90,0,-45,11655.92947,11.65592947
4,4,35,-45,45,0,90,90,0,45,-45,17102.00682,17.10200682
4,4,35,-45,45,90,0,0,90,45,-45,16943.566,16.943566
4,4,35,-45,90,0,45,45,0,90,-45,11935.72164,11.93572164
4,4,35,-45,90,45,0,0,45,90,-45,13578.91329,13.57891329
4,4,35,0,-45,45,90,90,45,-45,0,12747.22566,12.74722566
4,4,35,0,-45,90,45,45,90,-45,0,11359.07645,11.35907645
4,4,35,0,45,-45,90,90,-45,45,0,12747.28176,12.74728176
4,4,35,0,45,90,-45,-45,90,45,0,11359.48109,11.35948109
4,4,35,0,90,-45,45,45,-45,90,0,10443.72492,10.44372492
4,4,35,0,90,45,-45,-45,45,90,0,10444.03063,10.44403063
4,4,35,45,-45,0,90,90,0,-45,45,17101.46654,17.10146654
4,4,35,45,-45,90,0,0,90,-45,45,16943.17787,16.94317787
4,4,35,45,0,-45,90,90,-45,0,45,13358.36393,13.35836393
4,4,35,45,0,90,-45,-45,90,0,45,11656.02336,11.65602336
4,4,35,45,90,-45,0,0,-45,90,45,13578.72356,13.57872356
4,4,35,45,90,0,-45,-45,0,90,45,11935.78963,11.93578963
4,4,35,90,-45,0,45,45,0,-45,90,10350.80445,10.35080445
4,4,35,90,-45,45,0,0,45,-45,90,11307.21404,11.30721404
4,4,35,90,0,-45,45,45,-45,0,90,9467.084414,9.467084414
4,4,35,90,0,45,-45,-45,45,0,90,9467.576267,9.467576267
4,4,35,90,45,-45,0,0,-45,45,90,11307.1985,11.3071985
4,4,35,90,45,0,-45,-45,0,45,90,10351.08977,10.35108977
4,4,40,-45,0,45,90,90,45,0,-45,12395.73914,12.39573914
4,4,40,-45,0,90,45,45,90,0,-45,10838.73412,10.83873412
4,4,40,-45,45,0,90,90,0,45,-45,15948.66859,15.94866859
4,4,40,-45,45,90,0,0,90,45,-45,15833.19046,15.83319046
4,4,40,-45,90,0,45,45,0,90,-45,11138.59731,11.13859731
4,4,40,-45,90,45,0,0,45,90,-45,12657.41192,12.65741192
4,4,40,0,-45,45,90,90,45,-45,0,11786.91111,11.78691111
4,4,40,0,-45,90,45,45,90,-45,0,10498.26071,10.49826071
4,4,40,0,45,-45,90,90,-45,45,0,11786.31977,11.78631977
4,4,40,0,45,90,-45,-45,90,45,0,10497.62936,10.49762936
4,4,40,0,90,-45,45,45,-45,90,0,9725.770108,9.725770108
4,4,40,0,90,45,-45,-45,45,90,0,9725.363155,9.725363155
4,4,40,45,-45,0,90,90,0,-45,45,15948.61469,15.94861469
4,4,40,45,-45,90,0,0,90,-45,45,15832.89408,15.83289408
4,4,40,45,0,-45,90,90,-45,0,45,12395.97638,12.39597638
4,4,40,45,0,90,-45,-45,90,0,45,10838.66973,10.83866973
4,4,40,45,90,-45,0,0,-45,90,45,12656.78711,12.65678711
4,4,40,45,90,0,-45,-45,0,90,45,11137.92254,11.13792254
4,4,40,90,-45,0,45,45,0,-45,90,9616.213672,9.616213672
4,4,40,90,-45,45,0,0,45,-45,90,10504.53837,10.50453837
4,4,40,90,0,-45,45,45,-45,0,90,8778.011468,8.778011468
4,4,40,90,0,45,-45,-45,45,0,90,8777.837733,8.777837733
4,4,40,90,45,-45,0,0,-45,45,90,10504.12837,10.50412837
4,4,40,90,45,0,-45,-45,0,45,90,9615.896075,9.615896075
4,4,45,-45,0,45,90,90,45,0,-45,11169.09518,11.16909518
4,4,45,-45,0,90,45,45,90,0,-45,9774.213311,9.774213311
4,4,45,-45,45,0,90,90,0,45,-45,14308.78656,14.30878656
4,4,45,-45,45,90,0,0,90,45,-45,14278.70163,14.27870163
4,4,45,-45,90,0,45,45,0,90,-45,10068.99374,10.06899374
4,4,45,-45,90,45,0,0,45,90,-45,11429.2133,11.4292133
4,4,45,0,-45,45,90,90,45,-45,0,10593.58373,10.59358373
4,4,45,0,-45,90,45,45,90,-45,0,9433.885872,9.433885872
4,4,45,0,45,-45,90,90,-45,45,0,10593.0944,10.5930944
4,4,45,0,45,90,-45,-45,90,45,0,9433.4626,9.4334626
4,4,45,0,90,-45,45,45,-45,90,0,8765.848608,8.765848608
4,4,45,0,90,45,-45,-45,45,90,0,8765.685418,8.765685418
4,4,45,45,-45,0,90,90,0,-45,45,14309.24475,14.30924475
4,4,45,45,-45,90,0,0,90,-45,45,14278.87827,14.27887827
4,4,45,45,0,-45,90,90,-45,0,45,11168.80156,11.16880156
4,4,45,45,0,90,-45,-45,90,0,45,9774.235511,9.774235511
4,4,45,45,90,-45,0,0,-45,90,45,11428.8746,11.4288746
